shipping;le transport maritime
The thumb;Le pouce
The forefinger;L'index
The middle finger;Le majeur
The ring finger;L'annulaire
The little finger;L'auriculaire
A nail;Un ongle
The hair;Les cheveux
The forehead;Le front
The eyebrows;Les sourcils
The eyes;Les yeux
The eyelashes;Les cils
The eyelid;La paupière
The nose;Le nez
The mouth;La bouche
The lips;Les lèvres
The chin;Le menton
The cheek;La joue
The ear;L'oreille
The throat;La gorge
The skull;Le crâne
The face;La face
The spine;La colonne vertébrale
The collar bone;La clavicule
The shoulder blade;L'omoplate
The breast bone;Le sternum
The ribs;Les côtes
The humerus;L'humérus
The radius;Le radius
The ulna;Le cubitus
The carpus;Les carpes
The metacarpals;Les métacarpes
The phalanx;La phalange
The ilium;L'os iliaque
The sacrum;Le sacrum
The femur;Le fémur
The patella;La rotule
The tibia;Le tibia
The fibula;Le péroné
The metatarsals;Les métatarses
The larynx;Le larynx
The jugular vein;La veine jugulaire
The thyroid gland;La thyroïde
The trachea;La trachée
The thymus gland;Le thymus
the vein;La veine
The trunk;L'artère
The bronchus;Les bronches
The bronchioles;Les bronchioles
The lungs;Les poumons
The heart;Le coeur
The sternum;Le sternum
The diaphragm;Le diaphragme
The aorta;L'aorte
The liver;Le foie
The gallbladder;La vésicule biliaire
The pancreas;Le pancréas
The spleen;La rate
The stomach;L'estomac
The colon;Le colon
The small intestine;L'intestin grêle
The appendix;L'appendice
The kidney;Le rein
the urethra;L'urètre
The bladder;La vessie
to abort;avorter
an abortion;une IVG, un avortement
an ache;une douleur
the birth control;la contraception, le contrôle des naissances
to bleed;saigner
blind;aveugle
the blood;le sang
the care;l'attention
to care;prendre soin
a chemist;un pharmacien
a condom;un préservatif
to cough;tousser
the cough;la toux
to cure;guérir
deaf;sourd
a diagnosis;un diagnostic
a disability;un handicap
dumb;muet
the fever;la fièvre
the flu;la grippe
to have an X-ray;passer une radio
a headache;un mal de tête
to heal;guérir
the health;la santé
healthy;sain
to infect;infecter
a nurse;une infirmière
to operate;opérer
to prescribe;prescrire
a prescription;une ordonnance
to recover;guérir
a scar;une cicatrice
to shake;trembler
to be sick with sth;être malade de qqch
a side effect;un effet secondaire
to sneeze;éternuer
to suffer from sth;souffrir de qqch
a surgeon;un chirurgien
a surgery;une opération
the surgery;la chirurgie (domaine)
to sweat;suer
to treat;traiter, soigner
a treatment;un traitement médical
to vomit;vomir
a wound;une blessure
the beard;la barbe
The head;La tête
the freckles;les tâches de rousseur
The mouth;La bouche
the tooth;la dent
the ears;les oreilles
The cheek;La joue
the cheek bone;la pommette
the clothes;les vêtements
the legs;les jambes
a mole;un grain de beauté
the wrinkles;les rides
the glasses;les lunettes
pleasant;agréable
tall;grand
medium-sized;de taille moyenne
suntanned;bronzé
pale;pâle
long arms;des bras longs
wrinkled;ridé
with a moustache;moustachu
anorexic;anorexique
slim;mince
thin;fin
slender;svelte
skinny;maigre
muscular;musclé
chubby;potelé, rondelet
well-built;bien bâti(e)
hazel eyes;des yeux noisette
almond-shaped eyes;des yeux en amande
beautiful eyes;de beaux yeux
sparkling eyes;des yeux pétillants
piercing eyes;des yeux perçants
slanted eyes;des yeux bridés
doe eyes;des yeux de gazelle
crows' feet;des pattes d'oies
arched eyebrows;des sourcils arqués
bushy eyebrows;des sourcils broussailleux
thin eyebrows;des sourcils minces
an aquiline nose;un nez aquilin
a straight nose;un nez droit
a broad nose;un nez large
a hawk nose;un nez faucon
a snub nose;un nez retroussé
a flat nose;un nez plat
a wide mouth;une large bouche
thin lips;des lèvres minces
full lips;des lèvres pleines
pouting lips;des lèvres boudeuses
pursed lips;des lèvres pincées
swollen lips;des lèvres gonflées
fair hair;des cheveux clairs
ash-blond hair;des cheveux blonds cendrés
auburn hair;des cheveux auburn (châtain + roux)
light brown hair;des cheveux bruns clairs
chestnut hair;des cheveux châtains
curly hair;des cheveux frisés
wavy hair;des cheveux ondulés
straight hair;des cheveux raides
frizzy hair;des cheveux crépus
messy hair;des cheveux en pétard
tousle-haired;des cheveux ébouriffés
tangled hair;des cheveux emmêles
a ponytail;une queue de cheval
bald;chauve
bleached hair;des cheveux décolorés
dyed hair;des cheveux teints
highlighted hair;des mèches
permed hair;des cheveux permanentés
weaved hair;des cheveux tressés
a long face;un visage long
a square face;un visage carré
a freckled face;un visage plein de tâches de rousseur
a wrinkled face;un visage ridé
a spotless face;un visage impeccable
a rosy face;un visage rose
a ruddy face;un visage rougeaud
a tanned face;un visage bronzé
a pale face;un visage pâle
dark-skinned;à peau brune
tan-skinned;à peau mâte
fair-skinned;à peau claire
light-skinned;à peau claire
a clog chin;un menton en galoche
a double chin;un double menton
a pointy chin;un menton pointu
a prominent chin;un menton saillant
a receding chin;un menton fuyant
a square chin;un menton carré
hollow cheeks;des joues creuses
round cheeks;des joues rondes
pinky cheeks;des joues roses
red cheeks;des joues rouges
sagging cheeks;des joues pendantes
a dimple;une fossette
a prominent cheek bone;une pommette saillante
a baby;un bébé (0 - 2 ans)
a toddler;un bambin (2 - 5 ans)
a child;un enfant (0 - 10 ans)
a teenager;un adolescent (10 - 19 ans)
a young adult;un jeune adulte (18 - 30 ans)
An adult;Un adulte
middle aged;d'âge moyen
mature;d'âge mûr
elderly;âgé, troisième âge
cloth;tissu
cotton;coton
wool;laine
linen;lin
silk;soie
man-made fibres;fibre synthétique
lace;dentelle
coal;charbon
rubber;caoutchouc
leather;cuir
paper;papier
cardboard;carton
sand;sable
cement;ciment
brick;brique
stone;pierre
glass;verre
marble;marbre
clay;argile
iron;fer
copper;cuivre
gold;or
silver;argent (matière)
lead;plomb
tin;étain
